termo,explicacao,categoria,contexto,extras,fonte
A dar corda,avançar,Expressão,"to move forward, to go ahead",{},expressoes_angolanas_.csv
Aiuê,"expressão de dor ou aflição, usada em momentos de tristeza",Expressão,"ouch, alas, expression of pain or sorrow",{},expressoes_angolanas_.csv
Aldrabar,enganar,Expressão,"to cheat, to trick",{},expressoes_angolanas_.csv
Aldrabona,enganadora,Expressão,"female liar, deceiver",{},expressoes_angolanas_.csv
Aldrabão,enganador,Expressão,"liar, trickster",{},expressoes_angolanas_.csv
Amarrotar o miúdo,bater no garoto,Expressão,to beat the kid,{},expressoes_angolanas_.csv
Ao lume,ao fogo,Expressão,"on the fire, cooking",{},expressoes_angolanas_.csv
Apetecer,"despertar interesse, agradar, pretender",Expressão,"to feel like, to crave",{},expressoes_angolanas_.csv
Armado em carapau de corrida,alguém que se julga mais esperto,Expressão,"acting cocky, thinking you’re smarter than others",{},expressoes_angolanas_.csv
Arrefecer,esfriar,Expressão,to cool down,{},expressoes_angolanas_.csv
Asparvo,tolo,Expressão,"fool, dumb",{},expressoes_angolanas_.csv
Aterrou,aterrissou,Expressão,landed (airplane),{},expressoes_angolanas_.csv
Auto-carro,ônibus,Expressão,bus,{},expressoes_angolanas_.csv
Avariado,"estragado, danificado",Expressão,"broken, damaged",{},expressoes_angolanas_.csv
Aí tem gato,"aí tem rolo, confusão",Expressão,"something’s fishy, there’s a catch",{},expressoes_angolanas_.csv
Baba de camelo,doce típico angolano,Expressão,traditional Angolan dessert,{},expressoes_angolanas_.csv
Babulo,tem problema,Expressão,"problematic, trouble",{},expressoes_angolanas_.csv
Baliza,limite,Expressão,"limit, boundary",{},expressoes_angolanas_.csv
Bangão,vaidoso,Expressão,"show-off, boastful",{},expressoes_angolanas_.csv
Bassula,arte marcial angolana,Expressão,Angolan martial art,{},expressoes_angolanas_.csv
Bate-chapas,pejorativo para fotógrafa,Expressão,slang for photographer (pejorative),{},expressoes_angolanas_.csv
Baza,cai fora,Expressão,"get out, leave",{},expressoes_angolanas_.csv
Bazamos,saímos,Expressão,we left,{},expressoes_angolanas_.csv
Bazar,eu vou sair,Expressão,"I’m out, I’m leaving",{},expressoes_angolanas_.csv
Bazeza,"tolo, bobo, idiota",Expressão,"silly, foolish",{},expressoes_angolanas_.csv
Bazo,saio,Expressão,I leave,{},expressoes_angolanas_.csv
Beber umas birras,beber umas cervejas,Expressão,to have some beers,{},expressoes_angolanas_.csv
Bedelho,intrometer-se,Expressão,"to meddle, to poke your nose in",{},expressoes_angolanas_.csv
Birra,cerveja,Expressão,beer,{},expressoes_angolanas_.csv
Bisno,fazer negócio,Expressão,to make a deal,{},expressoes_angolanas_.csv
Boaido,bêbado,Expressão,drunk,{},expressoes_angolanas_.csv
Boda,festa,Expressão,party,{},expressoes_angolanas_.csv
Boelos,"ridículos, fora de moda, ultrapassados",Expressão,"corny, outdated",{},expressoes_angolanas_.csv
Boleia,"carona, transporte gratuito",Expressão,"ride, lift",{},expressoes_angolanas_.csv
Borrifado,não se interessar por algo,Expressão,"unbothered, doesn’t care",{},expressoes_angolanas_.csv
Buelo,"ridículo, fora de moda, ultrapassado",Expressão,"corny, outdated",{},expressoes_angolanas_.csv
Bué / bwe,muito,Expressão,"a lot, plenty",{},expressoes_angolanas_.csv
Bué de coisas / bwe de coisas,muitas coisas,Expressão,lots of things,{},expressoes_angolanas_.csv
Cabaz,cesta básica ou de natal,Expressão,"basket, food hamper",{},expressoes_angolanas_.csv
Cabeça de ginguba,cabeça de amendoim (pequena ou desproporcional),Expressão,peanut head,{},expressoes_angolanas_.csv
Cabo Snoop,músico angolano,Expressão,Angolan musician,{},expressoes_angolanas_.csv
Cabrité,churrasco de rua de cabrito ou frango,Expressão,street barbecue (goat or chicken),{},expressoes_angolanas_.csv
Cacimbo,inverno ou nevoeiro (dependendo da região),Expressão,"mist, cold season",{},expressoes_angolanas_.csv
Caenche,"homem musculoso, forte",Expressão,"muscular man, well-built",{},expressoes_angolanas_.csv
Calema,"agitação marítima, confrontar",Expressão,"sea swell, confrontation",{},expressoes_angolanas_.csv
Calhar,ao acaso,Expressão,by chance,{},expressoes_angolanas_.csv
Calhau,pessoa com pouca capacidade,Expressão,"blockhead, dumb person",{},expressoes_angolanas_.csv
Calulú,prato típico da costa angolana,Expressão,traditional Angolan stew (calulu),{},expressoes_angolanas_.csv
Calundu,espírito de elevada hierarquia,Expressão,spiritual entity of high rank,{},expressoes_angolanas_.csv
Camba,amigo,Expressão,"friend, buddy",{},expressoes_angolanas_.csv
Campônia,pejorativo para camponês,Expressão,country bumpkin (pejorative),{},expressoes_angolanas_.csv
Candonga,"táxi azul e branco, usado como transporte público",Expressão,shared taxi (blue and white minibus),{},expressoes_angolanas_.csv
Candongueiro,motorista de candonga,Expressão,taxi driver (minibus driver),{},expressoes_angolanas_.csv
Canuca,"garota, jovem",Expressão,young girl,{},expressoes_angolanas_.csv
Canuco,"pessoa de pouca idade, jovem",Expressão,"youngster, kid",{},expressoes_angolanas_.csv
Capixe,entendeu,Expressão,"got it, understood",{},expressoes_angolanas_.csv
Carrinha,caminhonete,Expressão,"van, pickup truck",{},expressoes_angolanas_.csv
Casas de banho,banheiros,Expressão,"bathrooms, restrooms",{},expressoes_angolanas_.csv
Catana,faca comprida e larga,Expressão,machete,{},expressoes_angolanas_.csv
Catering,serviço de bufê,Expressão,catering service,{},expressoes_angolanas_.csv
Caxico,"criado, empregado",Expressão,"servant, helper",{},expressoes_angolanas_.csv
Chamou-me nomes,xingou-me,Expressão,called me names,{},expressoes_angolanas_.csv
Cheio de pong,cheio de estilo,Expressão,"stylish, swaggy",{},expressoes_angolanas_.csv
Chibo,delator; o que denuncia,Expressão,"snitch, informer",{},expressoes_angolanas_.csv
Chupar,beber,Expressão,"to drink, to sip",{},expressoes_angolanas_.csv
Chávenas,xícaras,Expressão,cups,{},expressoes_angolanas_.csv
Coiso,qualquer coisa ou até uma pessoa,Expressão,"thingamajig, whatchamacallit",{},expressoes_angolanas_.csv
Comando,controle remoto,Expressão,remote control,{},expressoes_angolanas_.csv
Comba,velório com comida e bebida,Expressão,wake with food and drinks,{},expressoes_angolanas_.csv
Compincha,cúmplice,Expressão,"accomplice, partner in crime",{},expressoes_angolanas_.csv
Composito,catálogo de fotos de modelos,Expressão,comp card (modeling portfolio),{},expressoes_angolanas_.csv
Confusionista,"confrontador, causador de brigas",Expressão,troublemaker,{},expressoes_angolanas_.csv
Contentor,container,Expressão,container,{},expressoes_angolanas_.csv
Contributo,"contribuição, ajuda",Expressão,"contribution, help",{},expressoes_angolanas_.csv
Corrupio,"rodopiar, andar à volta",Expressão,"whirl, spin around",{},expressoes_angolanas_.csv
Coscuvilhar,bisbilhotar,Expressão,"to snoop, to pry",{},expressoes_angolanas_.csv
Cota,"pessoa mais velha, respeitada",Expressão,"elder, respected older person",{},expressoes_angolanas_.csv
Coxear,mancar,Expressão,to limp,{},expressoes_angolanas_.csv
Cubico,pequeno cômodo,Expressão,small room,{},expressoes_angolanas_.csv
Cubículo,dormitório,Expressão,"dorm room, cubicle",{},expressoes_angolanas_.csv
Cumbu,dinheiro,Expressão,"money, cash",{},expressoes_angolanas_.csv
Curibota,fofoqueiro,Expressão,"gossip, tattler",{},expressoes_angolanas_.csv
Dar cabo,"destruir, dar fim",Expressão,"to destroy, to ruin",{},expressoes_angolanas_.csv
Dar graxa,enaltecer de modo exagerado,Expressão,"to suck up, to flatter",{},expressoes_angolanas_.csv
Dar tímpano,dar ouvidos,Expressão,"to listen to, to pay attention",{},expressoes_angolanas_.csv
Dar uma nega,negar algo,Expressão,"to turn down, to refuse",{},expressoes_angolanas_.csv
De borla,de graça,Expressão,for free,{},expressoes_angolanas_.csv
Deitou fora,jogou fora,Expressão,threw away,{},expressoes_angolanas_.csv
Desaustinado,desnorteado,Expressão,"confused, disoriented",{},expressoes_angolanas_.csv
Desbobinar,falar com raiva segredos íntimos,Expressão,to spill secrets angrily,{},expressoes_angolanas_.csv
Descalabro,"desgraça, prejuízo que aumenta",Expressão,"disaster, ruin",{},expressoes_angolanas_.csv
Desenrascate,resolva-se,Expressão,"figure it out, sort yourself out",{},expressoes_angolanas_.csv
Despedimento,demissão,Expressão,"dismissal, firing",{},expressoes_angolanas_.csv
Dipanda,independência,Expressão,independence,{},expressoes_angolanas_.csv
Disparate,"absurdo, sem razão",Expressão,"nonsense, absurd",{},expressoes_angolanas_.csv
Divo,revista fictícia da novela Windeck,Expressão,fictional magazine (Windeck),{},expressoes_angolanas_.csv
Dos fardos,das feiras,Expressão,from the fairs (street stalls),{},expressoes_angolanas_.csv
Dreda,"que agrada, tem qualidades positivas",Expressão,"cool, awesome",{},expressoes_angolanas_.csv
Dzumba malaica,mau hálito,Expressão,bad breath,{},expressoes_angolanas_.csv
Embrulhada,confusão,Expressão,"mess, trouble",{},expressoes_angolanas_.csv
Emproada,vaidosa,Expressão,"conceited, stuck-up",{},expressoes_angolanas_.csv
Enervar,"perder a calma, ficar irritado",Expressão,"to get annoyed, to irritate",{},expressoes_angolanas_.csv
Engates,"conquista, paquera",Expressão,"flirting, hookups",{},expressoes_angolanas_.csv
Engonhar,demorar muito a fazer algo,Expressão,"to stall, to waste time",{},expressoes_angolanas_.csv
Escusa,desculpa,Expressão,excuse,{},expressoes_angolanas_.csv
Esganado,esfomeado,Expressão,"famished, starving",{},expressoes_angolanas_.csv
Espezinhar,"humilhar, desprezar",Expressão,"to trample on, to humiliate",{},expressoes_angolanas_.csv
Esquadra,delegacia de polícia,Expressão,police station,{},expressoes_angolanas_.csv
Estafeta,entregador,Expressão,"delivery person, courier",{},expressoes_angolanas_.csv
Estoque de baldas,estoque de fuga ao trabalho,Expressão,"stock of excuses, slacking",{},expressoes_angolanas_.csv
Está de rastos,está cansado,Expressão,"worn out, exhausted",{},expressoes_angolanas_.csv
Está na lona,"sem dinheiro, exausto",Expressão,"broke, down and out",{},expressoes_angolanas_.csv
Está tudo sobre rodas,está tudo bem,Expressão,"everything’s fine, going smoothly",{},expressoes_angolanas_.csv
Expedita,"ágil, desembaraçada",Expressão,"quick, resourceful",{},expressoes_angolanas_.csv
Fado,"destino, saudade",Expressão,"fate, destiny",{},expressoes_angolanas_.csv
Fatiota,traje,Expressão,"outfit, suit",{},expressoes_angolanas_.csv
Fato completo,terno e gravata,Expressão,full suit,{},expressoes_angolanas_.csv
Fezada,sorte,Expressão,"luck, good fortune",{},expressoes_angolanas_.csv
Figas,amuletos,Expressão,"charms, lucky charms",{},expressoes_angolanas_.csv
Finória,mulher fina,Expressão,"refined woman, classy",{},expressoes_angolanas_.csv
Fixe,"legal, simpático, divertido",Expressão,"cool, nice, fun",{},expressoes_angolanas_.csv
Flipado,perder a serenidade repentinamente,Expressão,"freaked out, lost it",{},expressoes_angolanas_.csv
Flipar,"saltar, virar, ficar zangado ou entusiasmado",Expressão,"to flip out, to go crazy",{},expressoes_angolanas_.csv
Fobado,"esfomeado, com fome",Expressão,"hungry, starving",{},expressoes_angolanas_.csv
Fogareiro,taxista,Expressão,taxi driver,{},expressoes_angolanas_.csv
Frigorífico,geladeira,Expressão,"fridge, refrigerator",{},expressoes_angolanas_.csv
Fuba,farinha de milho,Expressão,corn flour,{},expressoes_angolanas_.csv
Funji,massa cozida angolana,Expressão,Angolan porridge (cassava or corn),{},expressoes_angolanas_.csv
Funjitos,massa de fubá de mandioca ou milho,Expressão,small portions of funji,{},expressoes_angolanas_.csv
Gabiru,"malandro, vígaro",Expressão,"crook, hustler",{},expressoes_angolanas_.csv
Gajos,rapazes,Expressão,"guys, dudes",{},expressoes_angolanas_.csv
Gelado,sorvete,Expressão,ice cream,{},expressoes_angolanas_.csv
Gindungo,molho de pimenta caseira,Expressão,homemade chili sauce,{},expressoes_angolanas_.csv
Ginguba,amendoim,Expressão,peanut,{},expressoes_angolanas_.csv
Gira,bonita,Expressão,"pretty, cute",{},expressoes_angolanas_.csv
Inganazambi,Deus,Expressão,God,{},expressoes_angolanas_.csv
Jikulumessu,abrir os olhos,Expressão,"open your eyes, awareness",{},expressoes_angolanas_.csv
Jindungo,prato típico angolano,Expressão,traditional Angolan dish (spicy),{},expressoes_angolanas_.csv
Kifufutila,sobremesa angolana,Expressão,Angolan dessert,{},expressoes_angolanas_.csv
Kilape,contrair dívida e não pagar,Expressão,"to owe money, to skip payment",{},expressoes_angolanas_.csv
Kudurista,quem dança kuduro,Expressão,kuduro dancer,{},expressoes_angolanas_.csv
Kuduro,gênero musical e dança angolana,Expressão,Kuduro music/dance,{},expressoes_angolanas_.csv
Kumbu,dinheiro,Expressão,"money, cash",{},expressoes_angolanas_.csv
Kuzu,"prisão, cadeia",Expressão,"jail, prison",{},expressoes_angolanas_.csv
Kwanza,moeda angolana,Expressão,Angolan currency (Kwanza),{},expressoes_angolanas_.csv
Lambe-botas,"puxa-saco, bajulador",Expressão,"bootlicker, sycophant",{},expressoes_angolanas_.csv
Lambisgoia,mulher mexeriqueira,Expressão,"gossiping woman, busybody",{},expressoes_angolanas_.csv
Levantar,receber,Expressão,"to collect, to receive",{},expressoes_angolanas_.csv
Licenciado em curibotisse,licenciado em fofoca,Expressão,licensed in gossiping (sarcastic),{},expressoes_angolanas_.csv
Lidas de casa,afazeres domésticos,Expressão,house chores,{},expressoes_angolanas_.csv
Loiça,louça,Expressão,"dishes, crockery",{},expressoes_angolanas_.csv
Maca,problema,Expressão,"problem, trouble",{},expressoes_angolanas_.csv
Madié,rapaz,Expressão,"boy, guy",{},expressoes_angolanas_.csv
Magalas,policiais,Expressão,"cops, police",{},expressoes_angolanas_.csv
Magoado,machucado,Expressão,"hurt, injured",{},expressoes_angolanas_.csv
Maia,atrapalha,Expressão,gets in the way,{},expressoes_angolanas_.csv
Malaike,está mal,Expressão,"feeling bad, unwell",{},expressoes_angolanas_.csv
Malembe-malembe,devagar se chega ao longe,Expressão,slowly but surely,{},expressoes_angolanas_.csv
Malucada,mulher sem juízo,Expressão,crazy woman,{},expressoes_angolanas_.csv
Mambo,"coisa, situação",Expressão,"thing, matter, business",{},expressoes_angolanas_.csv
Mamoite,pessoa mais velha,Expressão,elder person,{},expressoes_angolanas_.csv
Mamã,mamãe,Expressão,"mom, mother",{},expressoes_angolanas_.csv
Mana Madó,mulher que gosta de aparecer,Expressão,show-off woman,{},expressoes_angolanas_.csv
Manceba,"mulher jovem, amante",Expressão,"mistress, concubine",{},expressoes_angolanas_.csv
Mangonheiro,preguiçoso,Expressão,lazy person,{},expressoes_angolanas_.csv
Massa,dinheiro,Expressão,"money, cash",{},expressoes_angolanas_.csv
Mata-bichos,café da manhã,Expressão,breakfast,{},expressoes_angolanas_.csv
Matumba,burra,Expressão,stupid woman,{},expressoes_angolanas_.csv
Matumbo,ignorante,Expressão,ignorant person,{},expressoes_angolanas_.csv
Mboa,"namorada, mulher bonita",Expressão,"lady, girlfriend, beautiful woman",{},expressoes_angolanas_.csv
Melga,pessoa chata,Expressão,annoying person,{},expressoes_angolanas_.csv
Meu Kota! Minha Kota!,expressão de respeito,Expressão,my elder (respectful),{},expressoes_angolanas_.csv
Mexericos,fofocas,Expressão,gossip,{},expressoes_angolanas_.csv
Mixórdia,"mistura, confusão",Expressão,"mess, mix-up",{},expressoes_angolanas_.csv
Miúda,"criança, garota",Expressão,"girl, kid",{},expressoes_angolanas_.csv
Miúdo,"criança, garoto",Expressão,"boy, kid",{},expressoes_angolanas_.csv
Moamba,prato típico com galinha ou peixe,Expressão,traditional stew (chicken/fish with palm oil),{},expressoes_angolanas_.csv
Monangambé,carregadora,Expressão,female porter,{},expressoes_angolanas_.csv
Morada,endereço,Expressão,address,{},expressoes_angolanas_.csv
Morder meus calcanhares,pegar no meu pé,Expressão,"to nag me, to bother me",{},expressoes_angolanas_.csv
Moxico,província angolana,Expressão,Moxico province,{},expressoes_angolanas_.csv
Muamba calulú,prato angolano,Expressão,Angolan dish (muamba with calulu),{},expressoes_angolanas_.csv
Mufete,prato típico angolano,Expressão,traditional Angolan grilled fish dish,{},expressoes_angolanas_.csv
Mujimbo,"boato, fofoca",Expressão,"rumor, gossip",{},expressoes_angolanas_.csv
Mussarela com fiambre,mussarela com presunto,Expressão,mozzarella with ham,{},expressoes_angolanas_.csv
Musseque,bairro popular de Luanda,Expressão,"shantytown, slum (Luanda)",{},expressoes_angolanas_.csv
Muzongue,prato típico angolano,Expressão,traditional Angolan dish,{},expressoes_angolanas_.csv
Nabi,profeta hebreu,Expressão,prophet (Hebrew),{},expressoes_angolanas_.csv
Nabo,"pessoa estúpida, desajeitada",Expressão,"dumb, clumsy person",{},expressoes_angolanas_.csv
Ngana zambi,Deus,Expressão,God,{},expressoes_angolanas_.csv
Nos teus mambos,nas tuas coisas,Expressão,"mind your business, in your stuff",{},expressoes_angolanas_.csv
Nossa Senhora da Muxima,santa de grande devoção,Expressão,Our Lady of Muxima,{},expressoes_angolanas_.csv
Nossa relação está de luto,a relação está morrendo,Expressão,our relationship is dying,{},expressoes_angolanas_.csv
Não tem macas,não há problemas,Expressão,"no worries, no problems",{},expressoes_angolanas_.csv
Não vou maia,não vou atrapalhar,Expressão,I won’t disturb,{},expressoes_angolanas_.csv
Pacóvia,"pouco inteligente, ingênua",Expressão,"simple, naive",{},expressoes_angolanas_.csv
Pacóvio,"ignorante, ingênuo",Expressão,"ignorant, simpleton",{},expressoes_angolanas_.csv
Pagar um copo,pagar uma bebida,Expressão,buy a drink,{},expressoes_angolanas_.csv
Paiado,aflito,Expressão,"distressed, troubled",{},expressoes_angolanas_.csv
Panca,atração forte por algo ou alguém,Expressão,"crush, obsession",{},expressoes_angolanas_.csv
Paragem,ponto de ônibus,Expressão,bus stop,{},expressoes_angolanas_.csv
Parlapear,"papear, conversar",Expressão,"to chat, to talk",{},expressoes_angolanas_.csv
Partir o braço,"extorquir, tirar vantagem",Expressão,"to rip off, to exploit",{},expressoes_angolanas_.csv
Parva / Parvo,"idiota, pateta",Expressão,"fool, idiot",{},expressoes_angolanas_.csv
Parvalhão,"tolo, idiota",Expressão,"dumb, fool",{},expressoes_angolanas_.csv
Parvinho,tolinho,Expressão,"silly, little fool",{},expressoes_angolanas_.csv
Parvoíce,"idiotice, tolice",Expressão,"nonsense, stupidity",{},expressoes_angolanas_.csv
Passadeira vermelha,tapete vermelho,Expressão,red carpet,{},expressoes_angolanas_.csv
Pasta,massa,Expressão,pasta,{},expressoes_angolanas_.csv
Pemba,ritual de umbanda,Expressão,Pemba ritual (spiritual ceremony),{},expressoes_angolanas_.csv
Pequeno almoço / mato bicho,café da manhã,Expressão,breakfast,{},expressoes_angolanas_.csv
Pindérica,miserável,Expressão,"wretched, pathetic",{},expressoes_angolanas_.csv
Pirosa,cafona,Expressão,"tacky, cheesy",{},expressoes_angolanas_.csv
Pompa,esplêndido,Expressão,"pomp, splendor",{},expressoes_angolanas_.csv
Pousar minhas coisas,guardar minhas coisas,Expressão,to put away my things,{},expressoes_angolanas_.csv
Prenda,presente,Expressão,"gift, present",{},expressoes_angolanas_.csv
Pula,branco (pessoa),Expressão,white person,{},expressoes_angolanas_.csv
Pulas,pejorativo para pessoa branca,Expressão,white folks (pejorative),{},expressoes_angolanas_.csv
Puto,garoto,Expressão,"kid, boy",{},expressoes_angolanas_.csv
Pôr a pau,"ter cuidado, estar atento",Expressão,"be careful, watch out",{},expressoes_angolanas_.csv
Quilumba,moça,Expressão,"girl, young woman",{},expressoes_angolanas_.csv
Quimbanda,curandeiro,Expressão,"traditional healer, witch doctor",{},expressoes_angolanas_.csv
Quinguila,mulher que troca dinheiro na rua,Expressão,street money changer,{},expressoes_angolanas_.csv
Quintetas salteadas,prato típico angolano,Expressão,traditional Angolan dish,{},expressoes_angolanas_.csv
Quitaba,pasta de ginguba,Expressão,peanut paste,{},expressoes_angolanas_.csv
Rapariga,"moça, jovem mulher",Expressão,"girl, young woman",{},expressoes_angolanas_.csv
Raspanete,bronca,Expressão,"scolding, telling-off",{},expressoes_angolanas_.csv
Reformar,aposentar,Expressão,to retire,{},expressoes_angolanas_.csv
Salamaleque,"saudação, a paz esteja convosco",Expressão,"salaam alaikum, peace be with you",{},expressoes_angolanas_.csv
Salo,trabalho,Expressão,"work, job",{},expressoes_angolanas_.csv
Salteadora,bandida,Expressão,"thief, bandit (female)",{},expressoes_angolanas_.csv
Saluba,saudação para Nanã (orixá),Expressão,salutation to Nanã (orisha),{},expressoes_angolanas_.csv
Sem dar cavaco,sem dar resposta,Expressão,"without answering, ignoring",{},expressoes_angolanas_.csv
Sida,AIDS,Expressão,AIDS,{},expressoes_angolanas_.csv
Soba,autoridade tradicional,Expressão,"tribal chief, community leader",{},expressoes_angolanas_.csv
Sumo,suco,Expressão,juice,{},expressoes_angolanas_.csv
Swag,"estilo, confiança",Expressão,"swag, style, confidence",{},expressoes_angolanas_.csv
Sítio,"endereço, lugar",Expressão,"place, address",{},expressoes_angolanas_.csv
Tabuleiro,bandeja,Expressão,tray,{},expressoes_angolanas_.csv
Tarrachinha,dança típica de Angola,Expressão,traditional Angolan dance,{},expressoes_angolanas_.csv
Tchila,"curtir, curtição",Expressão,"to enjoy, to chill",{},expressoes_angolanas_.csv
Telemóvel,celular,Expressão,"mobile phone, cell phone",{},expressoes_angolanas_.csv
Tipo porreiro,pessoa legal,Expressão,"nice guy, cool person",{},expressoes_angolanas_.csv
Tramado,"prejudicado, aflito",Expressão,"screwed, in trouble",{},expressoes_angolanas_.csv
Tramas,estraga,Expressão,"messes up, ruins",{},expressoes_angolanas_.csv
Tugas,portugueses,Expressão,Portuguese (slang),{},expressoes_angolanas_.csv
Umas botelhas,umas garrafas,Expressão,some bottles (usually alcohol),{},expressoes_angolanas_.csv
Vai dar bum,vai dar confusão,Expressão,"it’s going to blow up, cause trouble",{},expressoes_angolanas_.csv
Velhaca,"pessoa traiçoeira, fingida",Expressão,"sly, deceitful person",{},expressoes_angolanas_.csv
Velho gingão,velho coxo,Expressão,limping old man,{},expressoes_angolanas_.csv
Vivenda,"sobrado, casa",Expressão,"villa, townhouse",{},expressoes_angolanas_.csv
Windeck,pessoa ambiciosa,Expressão,"ambitious, ruthless person",{},expressoes_angolanas_.csv
Xinguilar,entrar em transe espiritual,Expressão,"to go into trance, to be possessed",{},expressoes_angolanas_.csv
Zuca,gíria para brasileiro,Expressão,Brazilian (slang),{},expressoes_angolanas_.csv
Zuelar,falar,Expressão,"to talk, to speak",{},expressoes_angolanas_.csv
Zunga,venda ambulante de produtos de pouco valor,Expressão,"street vending, hawking",{},expressoes_angolanas_.csv
À sua cota,à sua mãe,Expressão,your mom,{},expressoes_angolanas_.csv
Arroz com Feijão,"Prato simples, mas essencial, presente em quase todas as casas angolanas.",Gastronomia,,{},gastronomia_angolana.csv
Bengo,"Calulu de peixe fresco, funge de bombó, peixe seco.",Gastronomia,,{},gastronomia_angolana.csv
Benguela,"Calulu de peixe seco, mufete de peixe, funge de milho.",Gastronomia,,{},gastronomia_angolana.csv
Bié,"Funge de bombó, jimboa, muamba de galinha.",Gastronomia,,{},gastronomia_angolana.csv
Cabinda,"Calulu de peixe seco, banana pão, bagre fumado, peixe no forno, feijão de óleo de palma.",Gastronomia,,{},gastronomia_angolana.csv
Cachupa,"Prato de origem cabo-verdiana adaptado em Angola, preparado com milho, feijão e outros ingredientes variados.",Gastronomia,,{},gastronomia_angolana.csv
Calulu,"Guisado de peixe seco ou fresco, preparado com verduras como folhas de batata-doce, quiabo e temperado com óleo de palma.",Gastronomia,,{},gastronomia_angolana.csv
Catato,"Lagartas fritas em óleo, alho e sal, iguaria rica em proteínas e muito apreciada.",Gastronomia,,{},gastronomia_angolana.csv
Chikuanga,"Pão de mandioca fermentada, embrulhado em folhas de bananeira, muito consumido no norte de Angola.",Gastronomia,,{},gastronomia_angolana.csv
Cuando Cubango,"Calulu de peixe fresco, funge de bombó, carne de caça.",Gastronomia,,{},gastronomia_angolana.csv
Cunene,"Funge de bombó, catatos, carne de caça.",Gastronomia,,{},gastronomia_angolana.csv
Funge,"Prato básico e indispensável, preparado com farinha de mandioca ou de milho. Serve de acompanhamento a diversos molhos, sendo a base da dieta angolana.",Gastronomia,,{},gastronomia_angolana.csv
Ginguba Torrada,"Amendoim torrado, consumido como lanche ou acompanhamento.",Gastronomia,,{},gastronomia_angolana.csv
Huambo,"Funge de bombó, muamba de galinha, calulu de peixe fresco.",Gastronomia,,{},gastronomia_angolana.csv
Huíla,"Muamba de galinha, calulu de peixe fresco, funge de bombó.",Gastronomia,,{},gastronomia_angolana.csv
Jimboa,"Verdura típica, geralmente cozida com tomate, sal e óleo de palma.",Gastronomia,,{},gastronomia_angolana.csv
Kissanguá,"Bebida fermentada de milho, tradicionalmente produzida pelo povo Ovimbundu.",Gastronomia,,{},gastronomia_angolana.csv
Kizaca,"Folhas de mandioca cozidas, servidas com peixe, carne ou frango.",Gastronomia,,{},gastronomia_angolana.csv
Kwanza-Norte,"Mufete de peixe, calulu de peixe fresco, funge de milho.",Gastronomia,,{},gastronomia_angolana.csv
Kwanza-Sul,"Mufete de peixe, muamba de galinha, funge de bombó.",Gastronomia,,{},gastronomia_angolana.csv
Luanda,"Mufete, calulu de peixe seco, ginguba torrada.",Gastronomia,,{},gastronomia_angolana.csv
